2024/09/12 16:58:18.363 => OpenSerial: Com=4 BaudRate=256000, Success=1
2024/09/12 16:58:18.369 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/09/12 16:58:18.369 => protocol version = 1, send_recv buffer size = 64
2024/09/12 16:58:18.520 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/09/12 16:58:18.520 => protocol version = 1, send_recv buffer size = 64
2024/09/12 16:58:18.525 => CRadarProtocolDevice::UpdateVersion: CMDID(0x0000) Success
2024/09/12 16:58:18.525 => GetVersion Return: v1.4.4_32772.0
2024/09/12 16:58:29.960 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/09/12 16:58:29.960 => protocol version = 1, send_recv buffer size = 64
2024/09/12 16:58:30.120 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/09/12 16:58:30.120 => protocol version = 1, send_recv buffer size = 64
2024/09/12 16:58:30.663 => CRadarProtocolDevice::SendCommand: CMDID(0x0062) Success
2024/09/12 16:58:30.668 => CRadarProtocolDevice::CloseCmdMode: CMDID(0x00FE) Success
2024/09/12 16:58:30.673 => thread create success, thread handle=0x00000668, id=3160, name=ABDData
2024/09/12 16:58:30.673 => thread information, name=ABDData, tid=3160(0x00000c58)
2024/09/12 16:58:39.995 => State=3, M_D=030, M_S=100, ML_D=222, ML_S=100, R_D=056
2024/09/12 16:58:40.095 => State=3, M_D=030, M_S=100, ML_D=222, ML_S=100, R_D=050
2024/09/12 16:58:40.195 => State=3, M_D=030, M_S=100, ML_D=222, ML_S=100, R_D=045
2024/09/12 16:58:40.295 => State=3, M_D=030, M_S=100, ML_D=222, ML_S=100, R_D=041
2024/09/12 16:58:40.395 => State=3, M_D=030, M_S=100, ML_D=223, ML_S=100, R_D=037
2024/09/12 16:58:40.494 => State=3, M_D=030, M_S=100, ML_D=223, ML_S=100, R_D=034
2024/09/12 16:58:40.594 => State=3, M_D=030, M_S=100, ML_D=222, ML_S=100, R_D=031
2024/09/12 16:58:40.694 => State=3, M_D=030, M_S=100, ML_D=222, ML_S=100, R_D=000
2024/09/12 16:58:40.794 => State=3, M_D=030, M_S=100, ML_D=222, ML_S=100, R_D=000
2024/09/12 16:58:40.894 => State=3, M_D=030, M_S=100, ML_D=222, ML_S=100, R_D=000
2024/09/12 16:58:40.995 => State=3, M_D=030, M_S=100, ML_D=222, ML_S=100, R_D=000
2024/09/12 16:58:41.094 => State=3, M_D=030, M_S=100, ML_D=222, ML_S=100, R_D=000
2024/09/12 16:58:41.194 => State=3, M_D=030, M_S=100, ML_D=222, ML_S=100, R_D=000
2024/09/12 16:58:41.294 => State=3, M_D=030, M_S=100, ML_D=223, ML_S=100, R_D=000
2024/09/12 16:58:41.394 => State=3, M_D=030, M_S=100, ML_D=223, ML_S=100, R_D=000
2024/09/12 16:58:41.494 => State=2, M_D=221, M_S=066, ML_D=223, ML_S=100, R_D=041
2024/09/12 16:58:41.595 => State=2, M_D=030, M_S=100, ML_D=222, ML_S=100, R_D=037
2024/09/12 16:58:41.695 => State=3, M_D=030, M_S=100, ML_D=223, ML_S=100, R_D=034
2024/09/12 16:58:41.795 => State=2, M_D=225, M_S=100, ML_D=223, ML_S=100, R_D=056
2024/09/12 16:58:41.895 => State=3, M_D=223, M_S=057, ML_D=223, ML_S=100, R_D=074
2024/09/12 16:58:41.995 => State=3, M_D=226, M_S=100, ML_D=223, ML_S=100, R_D=091
2024/09/12 16:58:42.095 => State=2, M_D=030, M_S=100, ML_D=223, ML_S=100, R_D=081
2024/09/12 16:58:42.194 => State=2, M_D=226, M_S=100, ML_D=223, ML_S=100, R_D=097
2024/09/12 16:58:42.294 => State=3, M_D=223, M_S=100, ML_D=223, ML_S=100, R_D=110
2024/09/12 16:58:42.394 => State=3, M_D=225, M_S=100, ML_D=223, ML_S=100, R_D=123
2024/09/12 16:58:42.495 => State=3, M_D=225, M_S=100, ML_D=223, ML_S=100, R_D=134
2024/09/12 16:58:42.595 => State=3, M_D=226, M_S=100, ML_D=223, ML_S=100, R_D=144
2024/09/12 16:58:42.695 => State=3, M_D=225, M_S=100, ML_D=224, ML_S=100, R_D=152
2024/09/12 16:58:42.795 => State=3, M_D=226, M_S=100, ML_D=224, ML_S=100, R_D=159
